codigoint;codigoean;descricao;loja;embseparacao;ppcx;eicx;capcx;ltmix;secaoope;grupomerc
1000657;7891000319505;CEREAL MUCILON MULTICERAIS SH 180G;018;12;1,00;2,00;4,25;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;002;24;0,42;1,42;0,42;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;003;24;0,50;1,50;2,08;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;004;24;0,42;1,42;0,83;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;006;24;0,42;1,42;2,08;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;007;24;0,42;1,42;0,83;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;008;24;0,42;1,42;0,42;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;011;24;0,42;1,42;0,83;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;012;24;0,42;1,42;1,25;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;013;24;0,42;1,42;1,25;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;014;24;0,42;1,42;0,42;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;017;24;0,42;1,42;1,67;A;10;101
1007989;7891000369340;FARINHA LACTEA NESTLE SH 160G;018;24;0,42;1,42;4,17;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;002;24;0,42;1,42;0,42;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;003;24;0,50;1,50;2,08;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;004;24;0,42;1,42;0,83;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;005;24;0,42;1,42;0,83;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;006;24;0,50;1,50;2,08;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;007;24;0,42;1,42;0,42;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;008;24;0,42;1,42;0,42;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;011;24;0,42;1,42;0,83;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;012;24;0,42;1,42;1,67;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;013;24;0,42;1,42;1,25;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;014;24;0,42;1,42;0,42;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;017;24;0,42;1,42;1,25;A;10;101
1007722;7891000099032;FARINHA LACTEA NESTLE SH 210G;018;24;0,42;1,42;4,17;A;10;101
1012689;7891000251638;LEITE PO  LT 260G MOLICO ZERO LACTOSE;002;24;0,33;1,33;1,42;A;10;102
